,y_pred,lower,upper
48,387.0,325.0,460.0
49,387.0,317.0,471.0
50,387.0,311.0,481.0
51,387.0,305.0,490.0
52,387.0,300.0,498.0
53,387.0,295.0,506.0
54,387.0,291.0,514.0
55,387.0,286.0,522.0
56,387.0,283.0,529.0
57,387.0,279.0,536.0
58,387.0,275.0,543.0
59,387.0,272.0,550.0
60,387.0,269.0,556.0
61,387.0,266.0,563.0
62,387.0,263.0,569.0
63,387.0,260.0,575.0
64,387.0,257.0,581.0
65,387.0,254.0,587.0
66,387.0,252.0,593.0
67,387.0,250.0,599.0
68,387.0,247.0,605.0
69,387.0,245.0,611.0
70,387.0,243.0,616.0
71,387.0,240.0,622.0
