,y_pred,lower,upper
48,388.0,323.0,453.0
49,388.0,297.0,479.0
50,388.0,276.0,500.0
51,388.0,259.0,517.0
52,388.0,244.0,532.0
53,388.0,230.0,546.0
54,388.0,217.0,559.0
55,388.0,205.0,571.0
56,388.0,194.0,582.0
57,388.0,184.0,592.0
58,388.0,174.0,602.0
59,388.0,164.0,612.0
60,388.0,155.0,621.0
61,388.0,146.0,630.0
62,388.0,138.0,638.0
63,388.0,130.0,646.0
64,388.0,122.0,654.0
65,388.0,114.0,662.0
66,388.0,106.0,670.0
67,388.0,99.0,677.0
68,388.0,92.0,684.0
69,388.0,85.0,691.0
70,388.0,78.0,698.0
71,388.0,71.0,705.0
