,yhat_lower,yhat_upper,y_pred
0,9805334.0,11147045.0,10504521.0
1,9195567.0,10466746.0,9848146.0
2,10228447.0,11580581.0,10877175.0
3,10109363.0,11494432.0,10802654.0
4,10009133.0,11355714.0,10684225.0
5,9805155.0,11147001.0,10459605.0
6,10436632.0,11742757.0,11085803.0
7,9609595.0,10975046.0,10278226.0
8,9959672.0,11287827.0,10599190.0
9,10302355.0,11633896.0,10968069.0
10,10041460.0,11445585.0,10722075.0
11,10494946.0,11823511.0,11141430.0
12,10843473.0,12224758.0,11544074.0
13,10286586.0,11600221.0,10980063.0
14,10897917.0,12326965.0,11641916.0
15,10874343.0,12252069.0,11570461.0
16,11332544.0,12815733.0,12088321.0
17,11354763.0,12744897.0,12062059.0
18,12053350.0,13447163.0,12770276.0
19,11439839.0,12839058.0,12147108.0
20,11352114.0,12796716.0,12093169.0
21,11427477.0,12773877.0,12074067.0
22,11157522.0,12577489.0,11859932.0
23,10994236.0,12403450.0,11663321.0
