,y_pred,lower,upper
48,9018200.0,7446700.0,10589600.0
49,8781500.0,6704300.0,10858700.0
50,8576900.0,6190800.0,10963000.0
51,8400000.0,5807000.0,10993000.0
52,8247100.0,5509700.0,10984600.0
53,8115000.0,5274400.0,10955600.0
54,8000700.0,5085500.0,10916000.0
55,7902000.0,4932200.0,10871800.0
56,7816600.0,4806700.0,10826600.0
57,7742800.0,4703200.0,10782500.0
58,7679100.0,4617500.0,10740600.0
59,7623900.0,4546000.0,10701800.0
60,7576300.0,4486200.0,10666300.0
61,7535100.0,4436000.0,10634100.0
62,7499400.0,4393600.0,10605200.0
63,7468700.0,4357800.0,10579500.0
64,7442000.0,4327500.0,10556600.0
65,7419000.0,4301700.0,10536400.0
66,7399200.0,4279700.0,10518600.0
67,7382000.0,4261000.0,10503000.0
68,7367100.0,4244900.0,10489300.0
69,7354300.0,4231200.0,10477300.0
70,7343200.0,4219500.0,10466900.0
71,7333600.0,4209400.0,10457700.0
