,yhat_lower,yhat_upper,y_pred
48,331.0,442.0,386.0
49,325.0,449.0,387.0
50,312.0,461.0,387.0
51,305.0,469.0,387.0
52,297.0,477.0,387.0
53,290.0,484.0,387.0
54,283.0,491.0,387.0
55,277.0,497.0,387.0
56,271.0,503.0,387.0
57,265.0,509.0,387.0
58,260.0,514.0,387.0
59,254.0,520.0,387.0
60,249.0,525.0,387.0
61,245.0,529.0,387.0
62,240.0,534.0,387.0
63,235.0,539.0,387.0
64,231.0,543.0,387.0
65,227.0,547.0,387.0
66,223.0,551.0,387.0
67,218.0,556.0,387.0
68,215.0,559.0,387.0
69,211.0,563.0,387.0
70,207.0,567.0,387.0
71,203.0,571.0,387.0
