,yhat_lower,yhat_upper,y_pred
48,7686962.0,10361890.0,9024426.0
49,7719634.0,10633273.0,9176454.0
50,7317770.0,10862371.0,9090070.0
51,7209210.0,11069099.0,9139154.0
52,6980355.0,11242173.0,9111264.0
53,6842377.0,11411846.0,9127112.0
54,6673630.0,11562584.0,9118107.0
55,6537277.0,11709170.0,9123223.0
56,6395706.0,11844927.0,9120316.0
57,6267887.0,11976049.0,9121968.0
58,6141759.0,12100300.0,9121030.0
59,6022889.0,12220237.0,9121563.0
60,5907214.0,12335305.0,9121260.0
61,5796236.0,12446628.0,9121432.0
62,5688463.0,12554205.0,9121334.0
63,5584187.0,12658593.0,9121390.0
64,5482777.0,12759940.0,9121358.0
65,5384186.0,12858567.0,9121376.0
66,5288091.0,12954641.0,9121366.0
67,5194369.0,13048374.0,9121372.0
68,5102820.0,13139917.0,9121368.0
69,5013317.0,13229423.0,9121370.0
70,4925720.0,13317019.0,9121369.0
71,4839916.0,13402824.0,9121370.0
