,y_pred,lower,upper
48,393.0,331.0,455.0
49,395.0,328.0,463.0
50,397.0,325.0,470.0
51,399.0,322.0,477.0
52,401.0,319.0,484.0
53,404.0,317.0,490.0
54,406.0,315.0,496.0
55,408.0,313.0,502.0
56,410.0,311.0,508.0
57,412.0,310.0,514.0
58,414.0,308.0,520.0
59,416.0,307.0,525.0
60,418.0,306.0,531.0
61,420.0,305.0,536.0
62,422.0,304.0,541.0
63,424.0,303.0,546.0
64,427.0,302.0,551.0
65,429.0,301.0,556.0
66,431.0,300.0,561.0
67,433.0,299.0,566.0
68,435.0,299.0,571.0
69,437.0,298.0,576.0
70,439.0,298.0,580.0
71,441.0,297.0,585.0
