,y_pred,lower,upper
48,9304600.0,7789300.0,10819900.0
49,9354300.0,7705500.0,11003000.0
50,9403900.0,7631800.0,11176100.0
51,9453600.0,7566000.0,11341200.0
52,9503200.0,7507000.0,11499500.0
53,9552900.0,7453500.0,11652300.0
54,9602500.0,7404900.0,11800200.0
55,9652200.0,7360500.0,11943900.0
56,9701800.0,7319800.0,12083900.0
57,9751500.0,7282400.0,12220600.0
58,9801100.0,7248000.0,12354300.0
59,9850800.0,7216200.0,12485400.0
60,9900400.0,7186900.0,12614000.0
61,9950100.0,7159800.0,12740300.0
62,9999700.0,7134800.0,12864700.0
63,10049400.0,7111700.0,12987100.0
64,10099000.0,7090300.0,13107700.0
65,10148700.0,7070600.0,13226800.0
66,10198300.0,7052400.0,13344300.0
67,10248000.0,7035700.0,13460300.0
68,10297600.0,7020200.0,13575000.0
69,10347300.0,7006100.0,13688500.0
70,10396900.0,6993100.0,13800700.0
71,10446600.0,6981300.0,13911800.0
